id,name,genres
3Z02hBLubJxuFJfhacLSDc,Bryan Adams,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop']"
7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,"['latin pop', 'mexican pop', 'puerto rican pop']"
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,"['dance pop', 'pop', 'urban contemporary']"
4Yttlv9ndGjCDCVLqM7ACq,Sido,"['german hip hop', 'german pop']"
4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"['classical', 'classical era']"
2MRBDr0crHWE5JwPceFncq,Juan Gabriel,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']"
2gBjLmx6zQnFGQJCAQpRgw,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']"
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']"
3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís,"['grupera', 'latin pop', 'musica mexicana', 'ranchera']"
4S9EykWXhStSc15wEx8QFK,Céline Dion,['canadian pop']
4AVFqumd2ogHFlRbKIjp1t,Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
7FsRH5bw8iWpSbMX1G7xf1,Joan Sebastian,"['banda', 'grupera', 'musica mexicana', 'norteno', 'ranchera']"
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,"['adult standards', 'easy listening', 'lounge']"
2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,['filmi']
1dVygo6tRFXC8CSWURQJq2,Sonu Nigam,"['filmi', 'modern bollywood']"
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,"['classic bollywood', 'filmi', 'lata']"
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,"['banda', 'musica mexicana', 'norteno']"
4fEkbug6kZzzJ8eYX6Kbbp,KK,"['filmi', 'modern bollywood']"
